所在地,営業時間,定休日,TEL,店舗名,郵便番号,緯度,経度,IDg,cont_no,URL
石川県金沢市近岡町294-2,AM9:00〜PM9:00,1月1日のみ,076-239-4150,ゲンキー金沢近岡店,920-0217,36.6097831,136.63204,1,106,http://www.genky.co.jp/shop/cont.php?cont_no=106&g=1&ar=&page=0
石川県金沢市田上本町4丁目204番1,AM9:00〜PM9:00,1月1日のみ,076-234-5630,ゲンキー金沢田上店,920-1152,36.5401547,136.6927418,1,114,http://www.genky.co.jp/shop/cont.php?cont_no=114&g=1&ar=&page=0
石川県金沢市畝田西二丁目5番1,AM9:00〜PM9:00,1月1日のみ,076-268-8513,ゲンキー金沢畝田店,920-0342,36.5947389,136.607416,1,120,http://www.genky.co.jp/shop/cont.php?cont_no=120&g=1&ar=&page=0
石川県加賀市山代温泉35-18,AM9:00〜PM9:00,1月1日のみ,0761-76-9290,ゲンキー山代北口店,922-0242,36.299651,136.357195,1,188,http://www.genky.co.jp/shop/cont.php?cont_no=188&g=1&ar=&page=0
石川県野々市市押野6丁目48番地,AM9:00〜PM9:00,1月1日のみ,076-220-7160,ゲンキー押野北店,921-8802,36.5458821,136.6168035,1,199,http://www.genky.co.jp/shop/cont.php?cont_no=199&g=1&ar=&page=0
石川県小松市白江町ト1番1,AM9:00〜PM9:00,1月1日のみ,0761-21-3820,ゲンキー白江店,923-0811,36.4104833,136.4668196,1,310,http://www.genky.co.jp/shop/cont.php?cont_no=310&g=1&ar=&page=0
石川県白山市千代野東5丁目1番1,AM9:00〜PM9:00,1月1日のみ,076-275-1180,ゲンキー千代野中店,924-0073,36.5226947,136.5439664,1,311,http://www.genky.co.jp/shop/cont.php?cont_no=311&g=1&ar=&page=0
石川県加賀市片山津町巳64,AM9:00〜PM9:00,1月1日のみ,0761-76-5202,ゲンキー片山津店,922-0414,36.3417099,136.360906,1,316,http://www.genky.co.jp/shop/cont.php?cont_no=316&g=1&ar=&page=0
石川県河北郡津幡町字浅田丙15-1,AM9:00〜PM9:00,1月1日のみ,076-256-1680,ゲンキー横浜店,929-0324,36.6644772,136.7349794,1,318,http://www.genky.co.jp/shop/cont.php?cont_no=318&g=1&ar=&page=0
石川県能美市寺井町れ156番地,AM9:00〜PM9:00,1月1日のみ,0761-58-2720,ゲンキー寺井南店,923-1121,36.4353087,136.4928118,1,329,http://www.genky.co.jp/shop/cont.php?cont_no=329&g=1&ar=&page=0
石川県白山市月橋町364番地,AM9:00〜PM9:00,1月1日のみ,076-259-0144,ゲンキー鶴来月橋店,920-2104,36.4622128,136.6213466,1,345,http://www.genky.co.jp/shop/cont.php?cont_no=345&g=1&ar=&page=0
石川県金沢市南森本町ニ29番1,AM9:00〜PM9:00,1月1日のみ,076-254-1261,ゲンキー福久東店,920-3116,36.6190583,136.6870853,1,350,http://www.genky.co.jp/shop/cont.php?cont_no=350&g=1&ar=&page=0
石川県小松市符津町ム30,AM9:00〜PM9:00,1月1日のみ,0761-46-5090,ゲンキー符津店,923-0302,36.3599481,136.4289996,1,360,http://www.genky.co.jp/shop/cont.php?cont_no=360&g=1&ar=&page=0
石川県小松市八幡209,AM9:00〜PM9:00,1月1日のみ,076-146-5960,ゲンキー八幡西店,923-0833,36.3996193,136.4859304,1,393,http://www.genky.co.jp/shop/cont.php?cont_no=393&g=1&ar=&page=0
石川県金沢市米泉町10-1-166,AM9:00〜PM9:00,1月1日のみ,076-255-7820,ゲンキー西金沢駅北店,921-8044,36.5546556,136.6206557,1,398,http://www.genky.co.jp/shop/cont.php?cont_no=398&g=1&ar=&page=0
石川県野々市市藤平田2丁目3,AM9:00〜PM9:00,1月1日のみ,076-287-3510,ゲンキー藤平田店,921-8832,36.5206372,136.6081059,1,405,http://www.genky.co.jp/shop/cont.php?cont_no=405&g=1&ar=&page=0
石川県野々市市新庄二丁目802番,AM9:00〜PM9:00,1月1日のみ,076-220-6320,ゲンキー新庄店,921-8824,36.5013068,136.6077803,1,427,http://www.genky.co.jp/shop/cont.php?cont_no=427&g=1&ar=&page=0
石川県小松市長崎町二丁目78番,AM9:00〜PM9:00,1月1日のみ,0761-48-4920,ゲンキー小松長崎店,923-0004,36.424437,136.435709,1,441,http://www.genky.co.jp/shop/cont.php?cont_no=441&g=1&ar=&page=0
石川県加賀市山中温泉塚谷町二29番,AM9:00〜PM9:00,1月1日のみ,0761-75-7560,ゲンキー山中店,922-0111,36.2590691,136.3670605,1,447,http://www.genky.co.jp/shop/cont.php?cont_no=447&g=1&ar=&page=0
石川県能美市倉重町16番,AM9:00〜PM9:00,1月1日のみ,0761-48-4930,ゲンキー倉重店,923-1246,36.4522533,136.5453856,1,466,http://www.genky.co.jp/shop/cont.php?cont_no=466&g=1&ar=&page=0
石川県河北郡津幡町字太田は80番1,AM9:00〜PM9:00,1月1日のみ,076-255-6420,ゲンキー条南小学校北店,929-0345,36.654639,136.719583,1,471,http://www.genky.co.jp/shop/cont.php?cont_no=471&g=1&ar=&page=1
石川県羽咋郡宝達志水町小川弐152番,AM9:00〜PM9:00,1月1日のみ,0767-23-4720,ゲンキー押水店,929-1343,36.820028,136.757972,1,474,http://www.genky.co.jp/shop/cont.php?cont_no=474&g=1&ar=&page=1
石川県羽咋郡宝達志水町荻市い5番1,AM9:00〜PM9:00,1月1日のみ,0767-23-4470,ゲンキー志雄店,929-1426,36.861556,136.788389,1,475,http://www.genky.co.jp/shop/cont.php?cont_no=475&g=1&ar=&page=1
石川県鹿島郡中能登町金丸462番,AM9:00〜PM9:00,1月1日のみ,0767-72-2026,ゲンキー中能登金丸店,929-1521,36.951528,136.849694,1,476,http://www.genky.co.jp/shop/cont.php?cont_no=476&g=1&ar=&page=1
石川県七尾市光陽台34番2,AM9:00〜PM9:00,1月1日のみ,0767-58-6130,ゲンキー光陽台店,926-0177,37.083194,136.924861,1,477,http://www.genky.co.jp/shop/cont.php?cont_no=477&g=1&ar=&page=1
石川県七尾市万行町1街区1番,AM9:00〜PM9:00,1月1日のみ,0767-58-3240,ゲンキー万行町店,926-0012,37.045778,136.9835,1,479,http://www.genky.co.jp/shop/cont.php?cont_no=479&g=1&ar=&page=1
石川県七尾市中島町崎山弐23番,AM9:00〜PM9:00,1月1日のみ,0767-66-6015,ゲンキー七尾中島店,929-2242,37.106111,136.850667,1,480,http://www.genky.co.jp/shop/cont.php?cont_no=480&g=1&ar=&page=1
石川県羽咋市三ツ屋町ホ11-1,AM9:00〜PM9:00,1月1日のみ,0767-23-4320,ゲンキー羽咋太田店,925-0025,36.895278,136.805167,1,486,http://www.genky.co.jp/shop/cont.php?cont_no=486&g=1&ar=&page=1
石川県羽咋市西釜屋町ヰ155-7,AM9:00〜PM9:00,1月1日のみ,0767-23-4390,ゲンキー釜屋店,925-0017,36.906417,136.776194,1,487,http://www.genky.co.jp/shop/cont.php?cont_no=487&g=1&ar=&page=1
福井県福井市大和田町29字47,AM9:00〜PM9:00,1月1日のみ,0776-57-1560,ゲンキー福井大和田店,910-0802,36.094848,136.252822,2,102,http://www.genky.co.jp/shop/cont.php?cont_no=102&g=2&ar=&page=0
福井県鯖江市下河端町15-1-1,AM9:00〜PM9:00,1月1日のみ,0778-53-2020,ゲンキー東鯖江店,916-0038,35.9672644,136.1888013,2,110,http://www.genky.co.jp/shop/cont.php?cont_no=110&g=2&ar=&page=0
福井県坂井市三国町楽円58-10-1,AM9:00〜PM9:00,1月1日のみ,0776-82-7161,ゲンキー三国店,913-0021,36.2046027,136.1621108,2,112,http://www.genky.co.jp/shop/cont.php?cont_no=112&g=2&ar=&page=0
福井県越前市新保町4-10-1,AM9:00〜PM9:00,1月1日のみ,0778-25-5630,ゲンキー武生西店,915-0804,35.9159835,136.1545077,2,113,http://www.genky.co.jp/shop/cont.php?cont_no=113&g=2&ar=&page=0
福井県鯖江市小黒町3-1-26,AM9:00〜PM9:00,1月1日のみ,0778-54-7320,ゲンキー鯖江西店,916-0028,35.9548546,136.1751941,2,115,http://www.genky.co.jp/shop/cont.php?cont_no=115&g=2&ar=&page=0
福井県福井市若杉町34字51-1,AM9:00〜PM9:00,1月1日のみ,0776-32-6020,ゲンキー福井若杉店,918-8055,36.0564665,136.1780678,2,117,http://www.genky.co.jp/shop/cont.php?cont_no=117&g=2&ar=&page=0
福井県坂井市春江町随応寺23字6番1,AM9:00〜PM9:00,1月1日のみ,0776-51-6601,ゲンキー春江店,919-0413,36.1346899,136.2218739,2,119,http://www.genky.co.jp/shop/cont.php?cont_no=119&g=2&ar=&page=0
福井県大野市鍬掛20字9番2,AM9:00〜PM9:00,1月1日のみ,0779-64-4290,ゲンキー大野店,912-0071,35.9733288,136.4819245,2,121,http://www.genky.co.jp/shop/cont.php?cont_no=121&g=2&ar=&page=0
福井県坂井市丸岡町高柳9-5,AM9:00〜PM9:00,1月1日のみ,0776-67-4840,ゲンキー丸岡店,910-0373,36.1309736,136.25974,2,125,http://www.genky.co.jp/shop/cont.php?cont_no=125&g=2&ar=&page=0
福井県勝山市荒土町新保7-211,AM9:00〜PM9:00,1月1日のみ,0779-89-7031,ゲンキー荒土店,911-0043,36.0750573,136.4798565,2,128,http://www.genky.co.jp/shop/cont.php?cont_no=128&g=2&ar=&page=0
福井県敦賀市古田刈28号1-1,AM9:00〜PM9:00,1月1日のみ,0770-21-6330,ゲンキー敦賀店,914-0045,35.6337163,136.0618057,2,129,http://www.genky.co.jp/shop/cont.php?cont_no=129&g=2&ar=&page=0
福井県越前市瓜生町41-11番,AM9:00〜PM9:00,1月1日のみ,0778-25-5030,ゲンキーサンドーム店,915-0096,35.9239104,136.1892683,2,132,http://www.genky.co.jp/shop/cont.php?cont_no=132&g=2&ar=&page=0
福井県福井市新田塚2丁目2100番,AM9:00〜PM9:00,1月1日のみ,0776-30-1070,ゲンキー福井新田塚店,910-0067,36.088117,136.199844,2,133,http://www.genky.co.jp/shop/cont.php?cont_no=133&g=2&ar=&page=0
福井県あわら市北金津58字1-1,AM9:00〜PM9:00,1月1日のみ,0776-73-5780,ゲンキー金津店,919-0634,36.2167355,136.2186651,2,141,http://www.genky.co.jp/shop/cont.php?cont_no=141&g=2&ar=&page=0
福井県敦賀市木崎17-14,AM9:00〜PM9:00,1月1日のみ,0770-21-1360,ゲンキー敦賀木崎店,914-0814,35.642311,136.049728,2,148,http://www.genky.co.jp/shop/cont.php?cont_no=148&g=2&ar=&page=0
福井県越前市四郎丸町48字18-1,AM9:00〜PM9:00,1月1日のみ,0778-21-5860,ゲンキー王子保店,915-0857,35.872082,136.1670698,2,151,http://www.genky.co.jp/shop/cont.php?cont_no=151&g=2&ar=&page=0
福井県勝山市旭町2丁目539,AM9:00〜PM9:00,1月1日のみ,0779-87-3620,ゲンキー旭町店,911-0803,36.0547653,136.5114535,2,152,http://www.genky.co.jp/shop/cont.php?cont_no=152&g=2&ar=&page=0
福井県鯖江市杉本町21字11-1,AM9:00〜PM9:00,1月1日のみ,0778-53-0680,ゲンキー立待店,916-0005,35.9808129,136.1671391,2,153,http://www.genky.co.jp/shop/cont.php?cont_no=153&g=2&ar=&page=0
福井県福井市勝見3丁目20-19,AM9:00〜PM9:00,1月1日のみ,0776-23-1860,ゲンキー勝見店,910-0856,36.053027,136.233696,2,154,http://www.genky.co.jp/shop/cont.php?cont_no=154&g=2&ar=&page=0
福井県大野市東中野1-511,AM9:00〜PM9:00,1月1日のみ,0779-64-4220,ゲンキー陽明店,912-0017,35.9972005,136.4985478,2,157,http://www.genky.co.jp/shop/cont.php?cont_no=157&g=2&ar=&page=0
福井県小浜市駅前町15-10-2,AM9:00〜PM9:00,1月1日のみ,0770-53-2760,ゲンキー小浜店,917-0077,35.4911286,135.7503272,2,159,http://www.genky.co.jp/shop/cont.php?cont_no=159&g=2&ar=&page=1
福井県福井市二の宮2-803-2,AM9:00〜PM9:00,1月1日のみ,0776-21-0260,ゲンキー福井二の宮店,910-0015,36.0847367,136.225164,2,160,http://www.genky.co.jp/shop/cont.php?cont_no=160&g=2&ar=&page=1
福井県三方郡美浜町佐柿59-6-1,AM9:00〜PM9:00,1月1日のみ,0770-32-2290,ゲンキー美浜店,919-1132,35.607443,135.951451,2,169,http://www.genky.co.jp/shop/cont.php?cont_no=169&g=2&ar=&page=1
福井県福井市飯塚町8-116-1,AM9:00〜PM9:00,1月1日のみ,0776-33-0280,ゲンキー飯塚店,918-8067,36.0650837,136.1851569,2,170,http://www.genky.co.jp/shop/cont.php?cont_no=170&g=2&ar=&page=1
福井県福井市石盛町13-19,AM9:00〜PM9:00,1月1日のみ,0776-56-3870,ゲンキー福井森田店,910-0122,36.1152222,136.2275076,2,172,http://www.genky.co.jp/shop/cont.php?cont_no=172&g=2&ar=&page=1
福井県福井市日光2-26-5,AM9:00〜PM9:00,1月1日のみ,0776-97-9030,ゲンキー日光店,910-0029,36.071267,136.1982987,2,176,http://www.genky.co.jp/shop/cont.php?cont_no=176&g=2&ar=&page=1
福井県鯖江市北野町11字23番,AM9:00〜PM9:00,1月1日のみ,0778-53-1670,ゲンキー鯖江北野店,916-0029,35.9634704,136.1743438,2,181,http://www.genky.co.jp/shop/cont.php?cont_no=181&g=2&ar=&page=1
福井県越前市西樫尾町3字10-1,AM9:00〜PM9:00,1月1日のみ,0778-42-6950,ゲンキー粟田部店,915-0244,35.9107919,136.2326015,2,182,http://www.genky.co.jp/shop/cont.php?cont_no=182&g=2&ar=&page=1
福井県あわら市舟津45字11-1,AM9:00〜PM9:00,1月1日のみ,0776-89-1960,ゲンキー舟津店,910-4105,36.2271168,136.1872034,2,184,http://www.genky.co.jp/shop/cont.php?cont_no=184&g=2&ar=&page=1
福井県越前市高瀬1丁目54番,AM9:00〜PM9:00,1月1日のみ,0778-22-2570,ゲンキー高瀬店,915-0832,35.896325,136.1557407,2,190,http://www.genky.co.jp/shop/cont.php?cont_no=190&g=2&ar=&page=1
福井県福井市南四ツ居1丁目10-16,AM9:00〜PM9:00,1月1日のみ,0776-54-3669,ゲンキー四ツ居店,918-8204,36.06275,136.245056,2,257,http://www.genky.co.jp/shop/cont.php?cont_no=257&g=2&ar=&page=1
福井県福井市文京6丁目1701番地,AM9:00〜PM9:00,1月1日のみ,0776-43-9830,ゲンキー文京店,910-0175,36.076157,136.2024408,2,307,http://www.genky.co.jp/shop/cont.php?cont_no=307&g=2&ar=&page=1
福井県越前市赤坂町5-1-2,AM9:00〜PM9:00,1月1日のみ,0778-43-5730,ゲンキー東陽店,915-0256,35.9482781,136.2458499,2,313,http://www.genky.co.jp/shop/cont.php?cont_no=313&g=2&ar=&page=1
